record_id,near_duplicate_group_id,direct_perceptual_label_conflict,direct_benchmark_match,minimum_direct_distance
rec_0270f70499568bbc1710,near_2791da3a50be06fd2718,true,false,0
rec_02715cdbf11e510cc23b,near_cf240e07120abe79aa05,false,false,3
rec_0271abba06bd4c7b5943,near_53baada49f08ac836d0a,false,false,0
rec_0285da27ba488ee1c715,near_442588c77f72906c3816,false,false,0
rec_028ccdf5940512ff11fb,near_415dd77fa70055865d7f,false,false,0
rec_02a11b4bb67ee4ceede5,near_1c309d38a2782d45d4a3,false,false,3
rec_02a1d28bacd97fe7fbba,near_2791da3a50be06fd2718,true,false,0
rec_02a53e81b53d8936fabe,near_ed9e0c858bb340527b07,false,false,0
rec_02b653cacc0b175fdefd,near_2791da3a50be06fd2718,true,false,0
rec_02c45b54b57cac41e4f0,near_2791da3a50be06fd2718,true,false,0
rec_02c5827aec8c9bb0c04e,near_890ecc4090d041ded923,false,false,0
rec_02c7cf65c6b41116989b,near_8d0b25972522c2e5b4d4,false,false,3
rec_02ca067c32bc64b72397,near_2791da3a50be06fd2718,true,false,0
rec_02d1e47a2abf91f5c11f,near_2791da3a50be06fd2718,true,false,2
rec_02e48b60914531fe5e86,near_8de4b03a0b887f2f8b61,false,false,4
rec_02e894b83780ada59b0e,near_38b3c2c1864ab386910b,false,false,0
rec_02ef0a34b78ac0d1aa34,near_af08b5966d1f2488ef41,false,false,0
rec_02ef4d84f3297264069e,near_f8e1e88bab3e53cbf2ac,false,false,0
rec_02f217cd12fa32541109,near_28e47360cc62ad3dbaf2,true,false,0
rec_0315ba457a209e91d5f6,near_2791da3a50be06fd2718,true,false,1
rec_031aaedd879d5c4d59cd,near_70eb067b9aa0bc2fe090,false,false,0
rec_031db7ba235f34024762,near_62b84f6edec61c8fe61c,false,false,0
rec_03200133778692dff8fb,near_2791da3a50be06fd2718,true,false,2
rec_0323db96b771be993edb,near_2791da3a50be06fd2718,true,false,0
rec_03275a99f39ee9c2b7a0,near_7f65f47478d51db8dd90,false,false,0
rec_032b1ad30f1585bdd1c7,near_63a69bf5a5c4615e69ef,false,false,0
rec_032b679e12b9a30086de,near_d251df00138ac43b4c88,false,false,0
rec_033aba862327089c9acb,near_476aaea80079bb4115de,false,false,3
rec_0347c654eae1dbfda44c,near_432094fa5eff7080dacd,false,false,3
rec_034bba85737ee4488f22,near_2791da3a50be06fd2718,true,false,2
rec_035b06261e12cd6ee826,near_8f5ce8aafa8152241bb7,false,false,4
rec_035f84bac92eb17c0330,near_2791da3a50be06fd2718,true,false,1
rec_0362a8faef9f8537df0d,near_2791da3a50be06fd2718,true,false,0
rec_0367af6e397ad5690079,near_2791da3a50be06fd2718,true,false,0
rec_036c1fcddf2b14056cf3,near_2791da3a50be06fd2718,true,false,0
rec_036efdfe2b34dfc556a1,near_2791da3a50be06fd2718,true,false,1
rec_0375e8545267cd255173,near_2791da3a50be06fd2718,true,false,0
rec_0381c183ea8814f92040,near_2791da3a50be06fd2718,true,false,0
rec_0381c6f053e3bf7368f8,near_65641cb6cd04f12839c3,false,false,0
rec_0383be85032c353e8446,near_089ac0252b8fc4c91fd3,false,false,4
rec_038602f39c1e584d4f29,near_48104cda60beeee779c3,false,false,3
rec_038a5c4a6fa2d82c22c9,near_2791da3a50be06fd2718,true,false,0
rec_038fd37a300fb5c43c1b,near_4fdd242ab56b09eee8b8,false,false,4
rec_0398e802d6e3e8cae30d,near_ab8fc61d78c6cbf5912b,false,false,1
rec_03abcdb31e1003255a73,near_1c77ce482d817c4e02bb,false,false,0
rec_03baf14f6f0a357b97b7,near_fb302f52f841712d1291,false,false,0
rec_03cc537c6bbf8e77c1f1,near_425dcb8bbbd06ba2fc9c,false,false,0
rec_03d075277add7fd95ea8,near_09327b18746fb92db76b,false,false,0
rec_03d152456afdb48f1476,near_87e5961ac33efd653a84,false,false,0
rec_03d295a398405c32e57d,near_6ace7378a4886279a0c2,false,false,0
rec_03e5d3566f48a012a57b,near_2791da3a50be06fd2718,true,false,0
rec_03ebde70bfa0b998fe72,near_2791da3a50be06fd2718,true,false,0
rec_03edcb58d626ff26c31a,near_99742fd85b5d119d28d8,false,false,0
rec_03f5597e51f2150ebd92,near_8c9e8e2240c5d860cbee,false,false,1
rec_03fcb93d045a6279b857,near_fde3cbde56ee62539417,false,false,0
rec_0404652f46f008e93f96,near_2791da3a50be06fd2718,true,false,1
rec_040a275f4f2732ab182e,near_f843667777a2ee423262,false,false,1
rec_041bce43d54d3f314c32,near_e1e06f9af455d4f0f5f7,false,false,0
rec_042ad9805f2377bb45ec,near_2791da3a50be06fd2718,true,false,0
rec_042f0d835855cb6a4573,near_363ac5ff8f43e7d4488b,false,false,0
rec_042fb14f5ae8e6d9320d,near_2c0977092bcfaf1f8523,false,false,0
rec_0431dddb0e9ea95154bd,near_8b55dc356d77deb0832c,false,false,0
rec_0434b41930211fd1c28d,near_2791da3a50be06fd2718,true,false,0
rec_04402c7e05dca55b8d4a,near_2791da3a50be06fd2718,true,false,1
rec_0442eeb5cd1d3379879e,near_fadd5b0df2910872e63a,false,false,0
rec_0444acfe7762feee5eac,near_2791da3a50be06fd2718,true,false,0
rec_044df659520f59df5356,near_3c20e8c00ca7bc7c8820,false,false,0
rec_04536590aafeec6b72c9,near_cb8194ef8a834cc6620b,false,false,2
rec_046682b1d8262f020368,near_2791da3a50be06fd2718,true,false,0
rec_046758b5bb58ffd70225,near_c748e09cbabef5f62cac,false,false,0
rec_046b3a5f8ba73ca529e7,near_548be12cbd765420a296,false,false,1
rec_047268d1b59813cb9911,near_b3f1b3e456ea9185de17,false,false,4
rec_048019e9b41efefbf73e,near_2791da3a50be06fd2718,true,false,0
rec_04828ea304ec30b08742,near_d3a839bccfca46466615,false,false,4
rec_048498d7db09ef9c9528,near_2791da3a50be06fd2718,true,false,0
rec_0492fec93c7c72c4fc7d,near_2791da3a50be06fd2718,true,false,0
rec_049663b7f030e3a1170b,near_4407499736505f2022b4,false,false,0
rec_049cd66d69d538bf635e,near_0ba602fd72a8851f7d04,false,false,0
rec_04a9858761098b4fcba4,near_2791da3a50be06fd2718,true,false,0
rec_04bb8fe6ab02c3858361,near_2331b888a51adb93ad11,false,false,0
rec_04ca8adb1c911e8b3ba5,near_2791da3a50be06fd2718,true,false,0
rec_04cbe333059273939d75,near_e8bf29d8ad95c8059705,false,false,2
rec_04cf3b18c3cf6c078cb1,near_62dc794ac188e2f06559,false,false,2
rec_04d20eaafa9c8dbed6e9,near_2791da3a50be06fd2718,true,false,0
rec_04d7e1caba0b778ca48a,near_2791da3a50be06fd2718,true,false,0
